name,slug,birth_rate,region
Chile,chile,1.75,South America
Georgia,georgia,1.75,Middle East
Brazil,brazil,1.75,South America
Uruguay,uruguay,1.75,South America
Brunei,brunei,1.74,East and Southeast Asia
Finland,finland,1.74,Europe
Malaysia,malaysia,1.74,East and Southeast Asia
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,1.74,Central America and the Caribbean
Australia,australia,1.73,Australia and Oceania
Mexico,mexico,1.73,North America
Uzbekistan,uzbekistan,1.72,Central Asia
Anguilla,anguilla,1.72,Central America and the Caribbean
Saint Lucia,saint-lucia,1.72,Central America and the Caribbean
Lebanon,lebanon,1.71,Middle East
Wallis and Futuna,wallis-and-futuna,1.71,Australia and Oceania
Cuba,cuba,1.71,Central America and the Caribbean
Barbados,barbados,1.7,Central America and the Caribbean
Turks and Caicos Islands,turks-and-caicos-islands,1.7,Central America and the Caribbean
Maldives,maldives,1.7,South Asia
Palau,palau,1.7,Australia and Oceania
Liechtenstein,liechtenstein,1.69,Europe
Sweden,sweden,1.67,Europe
Jersey,jersey,1.66,Europe
Bahrain,bahrain,1.66,Middle East
Armenia,armenia,1.65,Middle East
Saint Barthelemy,saint-barthelemy,1.64,Central America and the Caribbean
Trinidad and Tobago,trinidad-and-tobago,1.63,Central America and the Caribbean
Luxembourg,luxembourg,1.63,Europe
Romania,romania,1.63,Europe
United Kingdom,united-kingdom,1.63,Europe
Estonia,estonia,1.62,Europe
United Arab Emirates,united-arab-emirates,1.62,Middle East
Saint Helena, Ascension, and Tristan da Cunha,saint-helena-ascension-and-tristan-da-cunha,1.61,Africa
Lithuania,lithuania,1.61,Europe
Russia,russia,1.6,Central Asia
Slovenia,slovenia,1.6,Europe
Saint Pierre and Miquelon,saint-pierre-and-miquelon,1.59,North America
Guernsey,guernsey,1.59,Europe
Moldova,moldova,1.59,Europe
Switzerland,switzerland,1.58,Europe
Germany,germany,1.58,Europe
Canada,canada,1.57,North America
Ukraine,ukraine,1.57,Europe
Latvia,latvia,1.55,Europe
Albania,albania,1.55,Europe
Thailand,thailand,1.54,East and Southeast Asia
San Marino,san-marino,1.53,Europe
Monaco,monaco,1.53,Europe
North Macedonia,north-macedonia,1.52,Europe
Belarus,belarus,1.52,Europe
Malta,malta,1.51,Europe
Austria,austria,1.51,Europe
Bulgaria,bulgaria,1.51,Europe
Czechia,czechia,1.5,Europe
Hungary,hungary,1.49,Europe
Cyprus,cyprus,1.48,Europe
Serbia,serbia,1.46,Europe
Slovakia,slovakia,1.46,Europe
Croatia,croatia,1.46,Europe
Andorra,andorra,1.46,Europe
China,china,1.45,East and Southeast Asia
Portugal,portugal,1.44,Europe
Poland,poland,1.41,Europe
Greece,greece,1.4,Europe
Japan,japan,1.39,East and Southeast Asia
British Virgin Islands,british-virgin-islands,1.37,Central America and the Caribbean
Bosnia and Herzegovina,bosnia-and-herzegovina,1.37,Europe
Mauritius,mauritius,1.35,Africa
Montserrat,montserrat,1.32,Central America and the Caribbean
Spain,spain,1.29,Europe
Puerto Rico,puerto-rico,1.25,Central America and the Caribbean
Italy,italy,1.24,Europe
Macau,macau,1.23,East and Southeast Asia
Hong Kong,hong-kong,1.23,East and Southeast Asia
Singapore,singapore,1.17,East and Southeast Asia
South Korea,korea-south,1.11,East and Southeast Asia
Taiwan,taiwan,1.09,East and Southeast Asia
